product_id,product_detail,product_category,product_type,total_revenue,total_qty,transaction_count,avg_unit_price,revenue_per_unit,revenue_pct,abc_class,revenue_rank,volume_rank,segment
1,Brazilian - Organic,Coffee Beans,Organic Beans,3852.0,214,209,18.0,18.0,0.5512,C,58,60,Underperforming
2,Our Old Time Diner Blend,Coffee Beans,House Blend Beans,3294.0,183,183,18.0,18.0,0.4714,C,59,62,Underperforming
3,Espresso Roast,Coffee Beans,Espresso Beans,2492.75,169,169,14.75,14.75,0.3567,C,63,63,Underperforming
4,Primo Espresso Roast,Coffee Beans,Espresso Beans,3067.5,150,150,20.45,20.45,0.439,C,60,69,Underperforming
5,Columbian Medium Roast,Coffee Beans,Gourmet Beans,2220.0,148,148,15.0,15.0,0.3177,C,65,70,Underperforming
6,Ethiopia,Coffee Beans,Gourmet Beans,4578.0,218,218,21.0,21.0,0.6551,C,56,59,Underperforming
7,Jamacian Coffee River,Coffee Beans,Premium Beans,2883.5,146,146,19.75,19.75,0.4126,C,62,71,Underperforming
8,Civet Cat,Coffee Beans,Premium Beans,11700.0,260,190,45.0,45.0,1.6743,A,27,56,Premium
9,Organic Decaf Blend,Coffee Beans,Organic Beans,4657.5,206,206,22.609223300970875,22.609223300970875,0.6665,C,55,61,Underperforming
10,Guatemalan Sustainably Grown,Coffee Beans,Green Beans,1340.0,134,134,10.0,10.0,0.1918,C,76,73,Underperforming
11,Lemon Grass,Loose Tea,Herbal Tea,1360.3999999999999,152,152,8.95,8.95,0.1947,C,75,68,Underperforming
12,Peppermint,Loose Tea,Herbal Tea,1369.35,153,153,8.95,8.95,0.196,C,74,67,Underperforming
13,English Breakfast,Loose Tea,Black Tea,1440.9499999999998,161,161,8.95,8.95,0.2062,C,73,65,Underperforming
14,Earl Grey,Loose Tea,Black Tea,1270.8999999999999,142,142,8.95,8.95,0.1819,C,78,72,Underperforming
15,Serenity Green Tea,Loose Tea,Green Tea,1470.75,159,159,9.25,9.25,0.2105,C,72,66,Underperforming
16,Traditional Blend Chai,Loose Tea,Chai Tea,1369.35,153,153,8.95,8.95,0.196,C,74,67,Underperforming
17,Morning Sunrise Chai,Loose Tea,Chai Tea,1596.0,168,168,9.5,9.5,0.2284,C,71,64,Underperforming
18,Spicy Eye Opener Chai,Loose Tea,Chai Tea,1335.8999999999999,122,122,10.95,10.95,0.1912,C,77,74,Underperforming
19,Dark Chocolate,Packaged Chocolate,Drinking Chocolate,755.2,118,118,6.4,6.4,0.1081,C,79,75,Underperforming
20,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,1679.6,221,221,7.6,7.6,0.2404,C,70,58,Underperforming
21,Chili Mayan,Packaged Chocolate,Drinking Chocolate,1972.84,148,148,13.33,13.33,0.2823,C,68,70,Underperforming
22,Our Old Time Diner Blend Sm,Coffee,Drip Coffee,8968.0,4484,2919,2.0,2.0,1.2833,B,41,9,Long Tail
23,Our Old Time Diner Blend Rg,Coffee,Drip Coffee,11025.0,4410,2894,2.5,2.5,1.5777,A,34,13,Hero
24,Our Old Time Diner Blend Lg,Coffee,Drip Coffee,11991.0,3997,2664,3.0,3.0,1.7159,A,25,39,Hero
25,Brazilian Sm,Coffee,Organic Brewed Coffee,9482.0,4310,2814,2.2,2.2,1.3569,B,40,23,Hero
26,Brazilian Rg,Coffee,Organic Brewed Coffee,13155.0,4385,2904,3.0,3.0,1.8825,A,15,17,Hero
27,Brazilian Lg,Coffee,Organic Brewed Coffee,15109.5,4317,2771,3.5,3.5,2.1622,A,10,22,Hero
28,Columbian Medium Roast Sm,Coffee,Gourmet Brewed Coffee,8356.0,4178,2728,2.0,2.0,1.1957,B,44,31,Long Tail
29,Columbian Medium Roast Rg,Coffee,Gourmet Brewed Coffee,11367.5,4547,3013,2.5,2.5,1.6267,A,31,6,Hero
30,Columbian Medium Roast Lg,Coffee,Gourmet Brewed Coffee,12585.0,4195,2731,3.0,3.0,1.8009,A,20,30,Hero
31,Ethiopia Sm,Coffee,Gourmet Brewed Coffee,9752.6,4433,2833,2.2,2.2,1.3956,B,39,12,Hero
32,Ethiopia Rg,Coffee,Gourmet Brewed Coffee,13179.0,4393,2866,3.0,3.0,1.8859,A,14,16,Hero
33,Ethiopia Lg,Coffee,Gourmet Brewed Coffee,14794.5,4227,2741,3.5,3.5,2.1171,A,11,27,Hero
